Målernr;Anvendelse;Ejendomsnr;Bygnr;Adresse;Postnr;By;Opvarmet.areal.(Ejendom);Opvarmet.areal.(Bygning)
4529799;514  Integrerede daginstitutioner;101205;1;Vejtoften 1;2630;Taastrup;324;324
4529800;514  Integrerede daginstitutioner;97607;2;Sankt Bendts Alle 8;2630;Taastrup;365;365
4585739;364  Andre kulturelle opgaver;42942;1;Taastrup Hovedgade 71;2630;Taastrup;;
4673057;301  Skoler;78025;2;Taastrup Hovedgade 155;2630;Taastrup;;
4747771;525 Særlige dagtilbud og særlige klubber;101280;1;Mølleholmen 3;2630;Taastrup;768;768
4839509;301  Skoler;96287;1;Gadehavegårdsvej 1;2630;Taastrup;2025;
4866195;550 Længerevarende botilbud;53561;1;Ludvig Hegners Alle 4;2630;Taastrup;;
4887707;550 Længerevarende botilbud;181160;1;Frøgård Alle 1A;2630;Taastrup;;
4937678;301  Skoler;96775;10;Charlottegårdsvej 1;2640;Hedehusene;;
4962433;482 Træningscentre;15392;1;Espens Vænge 44;2630;Taastrup;;
5037175;550 Længerevarende botilbud;171009;1;Pile Alle 10;2630;Taastrup;285;285
5093913;514a  Integrerede daginstitution PRIVATE;100578;1;Budstikken 1;2630;Taastrup;;
5093998;550 Længerevarende botilbud;158096;1;Cirklen F 1;2630;Taastrup;762;81
5140250;550 Længerevarende botilbud;53545;001;Jernbane Alle 11A;2630;Taastrup;;
5325295;205  Driftsbygninger;53332;4;Lervangen 35;2630;Taastrup;;
5326537;031  Stadion og idrætsanlæg;97089;1;Charlottegårdsvej 4;2640;Hedehusene;;
6135206;301  Skoler;28222;3;Græshøjvej 4A;2640;Hedehusene;;
6392057;559  Aktivitets- og samværstilbud;60851;1;Pile Alle 9;2630;Taastrup;;
6392146;514  Integrerede daginstitutioner;56757;1;Marievej 2;2630;Taastrup;;
6392172;514  Integrerede daginstitutioner;152411;1;Gadehavegårdsvej 3;2630;Taastrup;;
6393013;514  Integrerede daginstitutioner;185622;1;Frødalen 1;2630;Taastrup;;
6393014;516  Fritids- og ungdomsklubber;62242;2;Poppel Alle 10;2630;Taastrup;;
65005112;514  Integrerede daginstitutioner;168504;3;Vesterby Alle 17;2630;Taastrup;557;557
65012411;514  Integrerede daginstitutioner;60630;008;Parkvej 133;2630;Taastrup;327;327
65014229;535 Hjælpemiddeldepoter;53332;013;Lervangen 35 H;2630;Taastrup;;
65014274;514  Integrerede daginstitutioner;79898;9;Selsmosestræde 4;2630;Taastrup;;
65052581;516  Fritids- og ungdomsklubber;170347;1;Fyrrekrattet 1;2630;Taastrup;699;699
65063195;521  Foreb. foranst for børn og unge;152411;4;Gadehavegårdsvej 9;2630;Taastrup;;
65063211;514  Integrerede daginstitutioner;164770;1;Gyvelhaven 2;2630;Taastrup;671;671
65063303;514  Integrerede daginstitutioner;152411;2;Gadehavegårdsvej 5;2630;Taastrup;;
65067046;013  Andre ejendomme;42535;1;Taastrup Hovedgade 35;2630;Taastrup;151;151
65118755;011  Beboelsesejendomme;31312;1;Hulkærvej 18;2640;Hedehusene;;
65118764;514a  Integrerede daginstitution PRIVATE;97887;1;Lindehaven 5;2630;Taastrup;528;528
65118774;011  Beboelsesejendomme;31290;1;Hulkærvej 16;2640;Hedehusene;164;164
65118805;511  Dagpleje;97011;1;Bomager 14;2640;Hedehusene;200;200
65118812;534  Institutioner for ældre;8795;1;Bygaden 21;2630;Taastrup;300;300
65118826;011  Beboelsesejendomme;177457;1;Hovedgaden 437C;2640;Hedehusene;;
65118829;550 Længerevarende botilbud;80941;1;Stationsvej 30;2640;Hedehusene;;
65118840;013  Andre ejendomme;91773;001;Vesterkøb 15;2640;Hedehusene;159;159
65118848;516  Fritids- og ungdomsklubber;158134;4;Trekanten H 1;2630;Taastrup;;
65120192;013a  Tomme ejendomme;177643;1;Bredebjergvej 8;2630;Taastrup;;
6567326;514  Integrerede daginstitutioner;97011;3;Topager 11;2640;Hedehusene;393;393
6618580;350  Biblioteker;160031;1;Taastrup Hovedgade 86;2630;Taastrup;;
6627258;514  Integrerede daginstitutioner;158134;2;Firkanten I 1;2630;Taastrup;438;438
6627261;550 Længerevarende botilbud;158096;1;Cirklen F 1;2630;Taastrup;762;81
6681763;514a  Integrerede daginstitution PRIVATE;56609;1;Magnoliavej 5;2640;Hedehusene;;
6681892;013a  Tomme ejendomme;157081;1;Husmandsvej 10;2630;Taastrup;397;397
6681894;375  Fritidsaktiviteter;31584;1;Husmandsvej 4;2630;Taastrup;;
6790785;514  Integrerede daginstitutioner;39607;1;Ahornvej 1;2630;Taastrup;397;397
6790798;364  Andre kulturelle opgaver;17352;1;Fredensvej 1;2630;Taastrup;350;350
6790869;514  Integrerede daginstitutioner;42829;1;Jernbane Alle 4A;2630;Taastrup;906;906
6842413;514  Integrerede daginstitutioner;173583;1;Brøndvej 4A;2640;Hedehusene;432;432
6842421;305  Skolefritidsordninger;28222;12;Græshøjvej 4C;2640;Hedehusene;525;525
6842603;514  Integrerede daginstitutioner;97011;2;Bomager 16;2640;Hedehusene;408;408
6842629;514a  Integrerede daginstitution PRIVATE;144419;1;Mølleholmen 1;2630;Taastrup;;
6842762;013a  Tomme ejendomme;91730;1;Vesterkøb 10;2640;Hedehusene;;
69001263;514  Integrerede daginstitutioner;166048;1;Gadehavegårdsvej 1D;2630;Taastrup;584;584
69001269;013a  Tomme ejendomme;99855;1;Gasværksvej 1;2630;Taastrup;;
69089222;550 Længerevarende botilbud;185228;2;Frøgård Alle 6;2630;Taastrup;;
6916431;301  Skoler;28222;3;Græshøjvej 4A;2640;Hedehusene;;
6921678;530 Plejecentre;97062;1;Charlotteager 7A;2640;Hedehusene;;
69250492;364  Andre kulturelle opgaver;97763;7;Lindehaven 4;2630;Taastrup;629;629
6940321;516  Fritids- og ungdomsklubber;28222;1;Hovedgaden 448;2640;Hedehusene;;
6940322;514  Integrerede daginstitutioner;168504;1;Vesterby Alle 15;2630;Taastrup;470;470
69429582;301  Skoler;76898;1;Taastrupgårdsvej 3;2630;Taastrup;;
69469107;205  Driftsbygninger;53332;1;Lervangen 35;2630;Taastrup;;
69478882;301  Skoler;16135;7;Fløng Byvej 24;2640;Hedehusene;;
69478883;032  Idræts- og svømmehaller;16135;8;Fløng Byvej 26;2640;Hedehusene;;
69518080;032  Idræts- og svømmehaller;97763;2;Lindehaven 6;2630;Taastrup;1417;1417
69518092;533 Pleje og omsorg m.v. af ældre og handicappede;174695;001;Rugvænget 2, bolig 1 - 19;2630;Taastrup;;
69580701;530 Plejecentre;90785;1;Valbyvej 47A;2630;Taastrup;;
69585544;301  Skoler;96287;1;Gadehavegårdsvej 1;2630;Taastrup;2025;
69585545;364  Andre kulturelle opgaver;97313;1;Hovedgaden 371B;2640;Hedehusene;1368;407
69611360;516  Fritids- og ungdomsklubber;16135;10;Fløng Byvej 24;2640;Hedehusene;;
69652603;514  Integrerede daginstitutioner;97895;1;Lindehaven 3;2630;Taastrup;838;324
69688095;514  Integrerede daginstitutioner;16194;3;Fløng Byvej 15;2640;Hedehusene;;
69749518;375  Fritidsaktiviteter;79471;1;Fløng Byvej 12;2640;Hedehusene;;
69861509;514  Integrerede daginstitutioner;97607;1;Sankt Bendts Alle 6;2630;Taastrup;444;444
69861514;305  Skolefritidsordninger;171173;1;Charlottegårdsvej 1A;2640;Hedehusene;351;351
69873820;301  Skoler;96775;15;Charlottegårdsvej 1;2640;Hedehusene;;
69999051;305  Skolefritidsordninger;28222;11;Græshøjvej 4B;2640;Hedehusene;525;525
69999094;364  Andre kulturelle opgaver;62242;1;Poppel Alle 12;2630;Taastrup;;
7072161;489 Sundhedstjeneste;152411;3;Gadehavegårdsvej 7;2630;Taastrup;377;377
7072231;013  Andre ejendomme;97283;1;Stationsvej 6B;2640;Hedehusene;;
7072241;514  Integrerede daginstitutioner;7489;1;Brøndvej 5;2640;Hedehusene;408;408
7072337;514  Integrerede daginstitutioner;162700;1;Stenmøllen 54;2640;Hedehusene;480;480
7183151;205  Driftsbygninger;53332;1;Lervangen 35;2630;Taastrup;;
78082613;031  Stadion og idrætsanlæg;60568;3;Parkvej 78A;2630;Taastrup;;
78138095;013  Andre ejendomme;60541;3;Parkvej 76;2630;Taastrup;;
78185925;032  Idræts- og svømmehaller;60568;14;Parkvej 78;2630;Taastrup;4899;4899
78443775;514  Integrerede daginstitutioner;97895;1;Lindehaven 3;2630;Taastrup;838;324
